itemCollection_systemStores_Vehicleparts_Davion_Heavy,,,
itemCollection_systemStores_Vehicleparts_Kurita_Heavy,Reference,1,3
itemCollection_systemStores_Vehicleparts_Liao_Heavy,Reference,1,4
vehicledef_PO,MechPart,1,1
vehicledef_CARRIER_AC2,MechPart,1,3
vehicledef_BULLDOG_AC2,MechPart,1,2
vehicledef_CARRIER_LASER,MechPart,1,4
vehicledef_BULLDOG,MechPart,1,10
vehicledef_PIKE,MechPart,1,3
vehicledef_PIKE_AC5,MechPart,1,1
vehicledef_BRUTUS_PPC,MechPart,1,1
vehicledef_BULLDOG_LRM,MechPart,1,2
vehicledef_BRUTUS,MechPart,1,7
vehicledef_CARRIER_SRM,MechPart,1,10
vehicledef_CARRIER_SRM,MechPart,1,4
vehicledef_CARRIER_LRM,MechPart,1,10
vehicledef_CARRIER_LRM,MechPart,1,4
vehicledef_BRUTUS_LRM,MechPart,1,1
vehicledef_MANTICORE,MechPart,1,10
vehicledef_MANTICORE,MechPart,1,4
vehicledef_VONLUCKNER_VNL-K100,MechPart,1,1
vehicledef_VONLUCKNER_VNL-K65N,MechPart,1,2
