itemCollection_systemStores_Vehicleparts_Magistracy_Light,,,
itemCollection_systemStores_Vehicleparts_Liao_Light,Reference,1,5
itemCollection_systemStores_Vehicleparts_Marik_Light,Reference,1,1
vehicledef_GALLEON,MechPart,1,3
vehicledef_SCORPION,MechPart,1,10
vehicledef_SCORPION,MechPart,1,6
vehicledef_SKULKER,MechPart,1,1
vehicledef_SCORPION_ML,MechPart,1,1
vehicledef_HARASSER_LASER,MechPart,1,1
vehicledef_PACKRAT_PKR-T5,MechPart,1,2
vehicledef_SCORPION_SRM,MechPart,1,5
vehicledef_HARASSER_LRM,MechPart,1,1
vehicledef_HARASSER,MechPart,1,3
vehicledef_SCORPION_LRM,MechPart,1,1
vehicledef_JEdgar_ICE,MechPart,1,1
vehicledef_JEdgar_Flamer,MechPart,1,1
vehicledef_JEdgar_MG,MechPart,1,1
vehicledef_SCIMITAR,MechPart,1,5
vehicledef_JEdgar,MechPart,1,2
vehicledef_STRIKER,MechPart,1,2
vehicledef_STRIKER_SRM,MechPart,1,1
vehicledef_SALADIN,MechPart,1,8
vehicledef_HUNTER_LRM15,MechPart,1,1
vehicledef_STRIKER_LRM,MechPart,1,1
vehicledef_PEGASUS,MechPart,1,10
vehicledef_PEGASUS,MechPart,1,2
vehicledef_HUNTER_LRM10,MechPart,1,1
vehicledef_HUNTER,MechPart,1,3
vehicledef_SARACEN,MechPart,1,5
