itemCollection_systemStores_Vehicleparts_Taurian_Assault,,,
itemCollection_systemStores_Vehicleparts_Davion_Light,Reference,1,5
vehicledef_PARTISAN_AC2,MechPart,1,1
vehicledef_PARTISAN,MechPart,1,10
vehicledef_PARTISAN,MechPart,1,6
vehicledef_SCHREK_AC,MechPart,1,2
vehicledef_SCHREK,MechPart,1,9
vehicledef_DEMOLISHER,MechPart,1,10
vehicledef_DEMOLISHER,MechPart,1,10
vehicledef_DEMOLISHER,MechPart,1,8
vehicledef_PARTISAN_LRM,MechPart,1,2
vehicledef_DEVASTATOR,MechPart,1,6
vehicledef_BEHEMOTH,MechPart,1,10
vehicledef_BEHEMOTH,MechPart,1,9
vehicledef_RHINO_FLAMER,MechPart,1,1
vehicledef_RHINO_MG,MechPart,1,1
vehicledef_RHINO,MechPart,1,8
vehicledef_RHINO_SL,MechPart,1,1
